utt_id,spk_id,path,duration_sec,gender,text_id,transcript
BAC009S0251W0458,S0251,wav/S0251/BAC009S0251W0458.wav,3.1699375,0,W0458,但 有 胶带 贴 过 的 痕迹
BAC009S0251W0349,S0251,wav/S0251/BAC009S0251W0349.wav,4.2749375,0,W0349,胡 丽梅 赛后 接受 采访 时 说
BAC009S0251W0248,S0251,wav/S0251/BAC009S0251W0248.wav,7.3630625,0,W0248,可以 分别 参股 二家 基金 公司 其中 控股 不 得超 过 一 家
BAC009S0096W0157,S0096,wav/S0096/BAC009S0096W0157.wav,4.319,0,W0157,最 低 为 下降 百分 之 九 点 八
BAC009S0096W0308,S0096,wav/S0096/BAC009S0096W0308.wav,7.0971875,0,W0308,中国 新能 源 电动 汽车 的 保有 量 超过 了 十二万 辆
BAC009S0096W0361,S0096,wav/S0096/BAC009S0096W0361.wav,5.797875,0,W0361,感觉 跑步 的 过程 因为 他们 也 变得 更加 有 趣 和生 动
BAC009S0160W0279,S0160,wav/S0160/BAC009S0160W0279.wav,3.307,1,W0279,三洋 电机 则全 面 退出
BAC009S0160W0134,S0160,wav/S0160/BAC009S0160W0134.wav,3.414,1,W0134,增长 幅度 最 高 的 一 家 公司 了
BAC009S0160W0166,S0160,wav/S0160/BAC009S0160W0166.wav,3.216,1,W0166,主要 系 受 工程 进度 调整
BAC009S0166W0435,S0166,wav/S0166/BAC009S0166W0435.wav,4.6159375,1,W0435,涉 事 导游 左 某某 已 被 吊销 导游 证
BAC009S0166W0377,S0166,wav/S0166/BAC009S0166W0377.wav,3.0,1,W0377,明年 的 奥运 会才 是 大考
BAC009S0166W0413,S0166,wav/S0166/BAC009S0166W0413.wav,4.5180625,1,W0413,周董 一 家三 口 疑似 已 悄悄 离开 月子 中心
BAC009S0248W0477,S0248,wav/S0248/BAC009S0248W0477.wav,3.5188125,0,W0477,今年 狂犬 病 已死 亡 八 人
BAC009S0248W0388,S0248,wav/S0248/BAC009S0248W0388.wav,5.4509375,0,W0388,第 二轮 将 对阵 另 一 位 山东 选手 顾 玉婷
BAC009S0248W0404,S0248,wav/S0248/BAC009S0248W0404.wav,3.428,0,W0404,受到 到场 媒体 的 称赞
BAC009S0230W0278,S0230,wav/S0230/BAC009S0230W0278.wav,4.361,1,W0278,即 今天 欧盟 可能 会 对 芯片 定价 提出 问题
BAC009S0230W0379,S0230,wav/S0230/BAC009S0230W0379.wav,3.027875,1,W0379,阿尔萨 森 今年 才 二十一 岁
BAC009S0230W0124,S0230,wav/S0230/BAC009S0230W0124.wav,3.5959375,1,W0124,深圳 的 南山 区 华强北 等
BAC009S0192W0233,S0192,wav/S0192/BAC009S0192W0233.wav,7.094,1,W0233,加强 对 异常 个人 对外 投资 交易 的 筛选 和 预警
BAC009S0192W0175,S0192,wav/S0192/BAC009S0192W0175.wav,6.8219375,1,W0175,要 顺应 网络 时代 推动 大众 创业 万众 创新 的 形势
